Range,Style,Total Proj Time (ms),Total Range Time (ms),Range Instances,Proj Avg (ms),Proj Med (ms),Proj Min (ms),Proj Max (ms),Proj StdDev (ms),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:tr-backward,PushPop,20628.4298,979.1514,208,99.1751,99.1107,97.9496,103.1081,0.6491,416,2.0,1.0,2.0
:tr-forward,PushPop,10261.0789,3213.3489,208,49.3321,49.1741,48.5765,53.4142,0.8173,27040,130.0,1.0,3.0
cuBLAS:cublasLtTSTMatmul,PushPop,7622.3509,51.2127,2080,3.6646,1.6333,0.0987,11.0674,4.3848,3744,1.8,0.0,0.0
:fw.MoE,PushPop,4601.6414,2844.7197,208,22.1233,22.0991,21.8551,22.7719,0.1435,19344,93.0,3.0,19.0
:experts.fw,PushPop,2856.4457,61.4007,208,13.7329,13.7416,13.4625,13.9697,0.0996,1456,7.0,4.0,5.0
NCCL:ncclAllReduce,PushPop,2552.7048,37.5674,1056,2.4173,2.2017,0.0089,7.8149,1.9763,1056,1.0,0.0,0.0
:fw.Attn,PushPop,2249.8214,181.5011,208,10.8164,10.8187,10.5516,11.1203,0.0992,4784,23.0,3.0,21.0
:tr-optimize,PushPop,1698.2055,340.2677,208,8.1644,8.1654,8.1041,8.2158,0.0227,39936,192.0,1.0,1.0
:ep=local @ olmoe-1b-7b @ step_79,PushPop,1294.8473,1296.0859,8,161.8559,161.8606,161.7837,161.9063,0.0396,2704,338.0,0.0,12.0
:ep=local @ olmoe-1b-7b @ step_55,PushPop,1274.4578,202.1665,8,159.3072,159.7363,157.2249,160.3968,1.1697,2664,333.0,0.0,7.0
:ep=local @ olmoe-1b-7b @ step_69,PushPop,1266.7183,1267.7925,8,158.3398,158.3512,158.3008,158.3725,0.0277,2704,338.0,0.0,12.0
:ep=local @ olmoe-1b-7b @ step_57,PushPop,1266.7089,180.5149,8,158.3386,158.3442,158.2750,158.4025,0.0407,2664,333.0,0.0,7.0
:ep=local @ olmoe-1b-7b @ step_65,PushPop,1266.5042,177.2221,8,158.3130,158.3331,158.2149,158.3645,0.0513,2664,333.0,0.0,7.0
:ep=local @ olmoe-1b-7b @ step_78,PushPop,1266.1600,180.0822,8,158.2700,158.2608,158.2268,158.3303,0.0341,2664,333.0,0.0,7.0
:ep=local @ olmoe-1b-7b @ step_70,PushPop,1264.0250,179.6299,8,158.0031,158.0081,157.9629,158.0305,0.0210,2664,333.0,0.0,7.0
:ep=local @ olmoe-1b-7b @ step_62,PushPop,1261.9294,180.8812,8,157.7412,157.7421,157.7026,157.7791,0.0279,2664,333.0,0.0,7.0
:ep=local @ olmoe-1b-7b @ step_72,PushPop,1260.9113,180.5812,8,157.6139,157.6147,157.5623,157.6455,0.0258,2664,333.0,0.0,7.0
:ep=local @ olmoe-1b-7b @ step_76,PushPop,1260.7274,180.0342,8,157.5909,157.6263,157.4276,157.6511,0.0863,2664,333.0,0.0,7.0
:ep=local @ olmoe-1b-7b @ step_59,PushPop,1260.5812,1261.7650,8,157.5727,157.5837,157.5370,157.5965,0.0264,2704,338.0,0.0,12.0
:ep=local @ olmoe-1b-7b @ step_77,PushPop,1260.3141,180.4627,8,157.5393,157.5364,157.5104,157.5717,0.0252,2664,333.0,0.0,7.0
