Range,Style,Total Proj Time (ms),Total Range Time (ms),Range Instances,Proj Avg (ms),Proj Med (ms),Proj Min (ms),Proj Max (ms),Proj StdDev (ms),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:tr-backward,PushPop,26045.5250,1099.4409,208,125.2189,125.2266,123.5216,126.5624,0.5386,416,2.0,1.0,2.0
:tr-forward,PushPop,14342.8432,5092.8626,208,68.9560,68.9182,67.7141,70.2891,0.5088,36612,176.0,1.0,3.0
:tr-optimize,PushPop,485.8571,176.3243,208,2.3359,2.3362,2.3050,2.3596,0.0097,11648,56.0,1.0,1.0
:tr-data,PushPop,73.5040,170.2809,208,0.3534,0.3391,0.2873,0.7202,0.0508,1248,6.0,1.0,5.0
:ep=host_nccl @ olmoe-1b-7b @ step_73,PushPop,1594.2887,256.3577,8,199.2861,199.3134,199.1121,199.3484,0.0803,1944,243.0,0.0,7.0
:ep=host_nccl @ olmoe-1b-7b @ step_63,PushPop,1588.3313,251.5485,8,198.5414,198.5450,198.4990,198.5820,0.0277,1948,243.5,0.0,7.0
:ep=host_nccl @ olmoe-1b-7b @ step_69,PushPop,1587.8849,1589.0523,8,198.4856,198.5227,198.3217,198.5462,0.0777,1984,248.0,0.0,12.0
:ep=host_nccl @ olmoe-1b-7b @ step_79,PushPop,1587.3554,1588.4296,8,198.4194,198.4357,198.3292,198.4652,0.0448,1984,248.0,0.0,12.0
:ep=host_nccl @ olmoe-1b-7b @ step_77,PushPop,1586.8130,253.5724,8,198.3516,198.3584,198.2853,198.3768,0.0286,1944,243.0,0.0,7.0
:ep=host_nccl @ olmoe-1b-7b @ step_76,PushPop,1586.6532,254.7530,8,198.3317,198.3399,198.3023,198.3541,0.0193,1948,243.5,0.0,7.0
:ep=host_nccl @ olmoe-1b-7b @ step_80,PushPop,1583.7719,257.4996,8,197.9715,197.9756,197.8954,198.0138,0.0384,1944,243.0,0.0,7.0
:ep=host_nccl @ olmoe-1b-7b @ step_61,PushPop,1583.7470,255.5568,8,197.9684,197.9866,197.8182,198.0145,0.0617,1944,243.0,0.0,7.0
:ep=host_nccl @ olmoe-1b-7b @ step_74,PushPop,1583.1680,252.6767,8,197.8960,197.9442,197.6349,197.9860,0.1150,1944,243.0,0.0,7.0
:ep=host_nccl @ olmoe-1b-7b @ step_58,PushPop,1582.8559,255.7240,8,197.8570,197.8620,197.7846,197.9179,0.0510,1944,243.0,0.0,7.0
:ep=host_nccl @ olmoe-1b-7b @ step_57,PushPop,1582.6457,249.4019,8,197.8307,197.8355,197.7861,197.8656,0.0234,1940,242.5,0.0,7.0
:ep=host_nccl @ olmoe-1b-7b @ step_64,PushPop,1581.8064,256.3730,8,197.7258,197.7228,197.6747,197.7629,0.0263,1948,243.5,0.0,7.0
:ep=host_nccl @ olmoe-1b-7b @ step_71,PushPop,1580.1675,250.3358,8,197.5209,197.5254,197.4893,197.5498,0.0217,1944,243.0,0.0,7.0
