Range,Style,Total Proj Time (ms),Total Range Time (ms),Range Instances,Proj Avg (ms),Proj Med (ms),Proj Min (ms),Proj Max (ms),Proj StdDev (ms),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:tr-backward,PushPop,23904.5475,22010.1770,208,114.9257,114.8753,113.6523,116.0606,0.4870,416,2.0,1.0,2.0
:tr-forward,PushPop,14079.1492,8629.5480,208,67.6882,67.7281,66.3297,68.7924,0.4943,30160,145.0,1.0,3.0
:tr-optimize,PushPop,485.6362,196.3407,208,2.3348,2.3343,2.3077,2.3629,0.0106,11648,56.0,1.0,1.0
:tr-data,PushPop,76.2304,164.6612,208,0.3665,0.3388,0.2683,0.6030,0.0756,1248,6.0,1.0,5.0
:ep=pooled_symm @ olmoe-1b-7b @ step_69,PushPop,1501.0883,1502.2656,8,187.6360,187.6576,187.5535,187.6815,0.0490,1736,217.0,0.0,12.0
:ep=pooled_symm @ olmoe-1b-7b @ step_76,PushPop,1498.8953,1204.6853,8,187.3619,187.3717,187.3054,187.4134,0.0386,1696,212.0,0.0,7.0
:ep=pooled_symm @ olmoe-1b-7b @ step_64,PushPop,1496.3876,1196.8293,8,187.0485,187.0470,187.0176,187.1085,0.0300,1696,212.0,0.0,7.0
:ep=pooled_symm @ olmoe-1b-7b @ step_75,PushPop,1494.9318,1201.9598,8,186.8665,186.8593,186.8244,186.9241,0.0337,1696,212.0,0.0,7.0
:ep=pooled_symm @ olmoe-1b-7b @ step_60,PushPop,1492.7059,1196.4585,8,186.5882,186.5886,186.5402,186.6470,0.0380,1696,212.0,0.0,7.0
:ep=pooled_symm @ olmoe-1b-7b @ step_70,PushPop,1492.0742,1195.8637,8,186.5093,186.5239,186.4431,186.5605,0.0441,1696,212.0,0.0,7.0
:ep=pooled_symm @ olmoe-1b-7b @ step_56,PushPop,1490.9496,1193.9769,8,186.3687,186.3842,186.3048,186.3988,0.0345,1696,212.0,0.0,7.0
:ep=pooled_symm @ olmoe-1b-7b @ step_58,PushPop,1490.2813,1195.2983,8,186.2852,186.2844,186.2669,186.3035,0.0131,1696,212.0,0.0,7.0
:ep=pooled_symm @ olmoe-1b-7b @ step_57,PushPop,1490.2169,1198.0503,8,186.2771,186.2711,186.2294,186.3186,0.0297,1696,212.0,0.0,7.0
