Range,Style,Total Proj Time (ms),Total Range Time (ms),Range Instances,Proj Avg (ms),Proj Med (ms),Proj Min (ms),Proj Max (ms),Proj StdDev (ms),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:tr-backward,PushPop,23344.2314,21340.7930,208,112.2319,112.2615,110.9858,113.1885,0.4063,416,2.0,1.0,2.0
:tr-forward,PushPop,13365.6744,7891.4250,208,64.2580,64.1724,63.4597,67.5392,0.5248,29536,142.0,1.0,3.0
:fw.MoE,PushPop,7744.7632,7492.5418,208,37.2344,37.1817,36.5243,40.8722,0.4529,21840,105.0,3.0,19.0
cuBLAS:cublasLtTSTMatmul,PushPop,7479.8014,56.8523,2080,3.5961,1.3075,0.0987,11.0922,4.3185,3744,1.8,0.0,0.0
:experts.fw,PushPop,3213.1460,70.2313,208,15.4478,15.4447,15.1925,15.7098,0.0925,1872,9.0,4.0,5.0
:fw.Attn,PushPop,2241.3722,193.8604,208,10.7758,10.7507,10.4929,11.2054,0.1589,4784,23.0,3.0,21.0
:combine.fw,PushPop,2228.8089,4497.3781,208,10.7154,10.7006,10.4776,11.0783,0.1306,1248,6.0,4.0,3.0
:dispatch.fw,PushPop,1861.0667,620.6608,208,8.9474,8.8708,8.3532,12.6528,0.4617,13520,65.0,4.0,11.0
:bw.a2a_combine,PushPop,1588.1045,13439.4796,208,7.6351,7.5933,6.6835,8.7628,0.4458,1040,5.0,2.0,3.0
:ep=zerocopy_symm @ olmoe-1b-7b @ step_77,PushPop,1449.6981,1151.8480,8,181.2123,181.2154,181.1808,181.2398,0.0185,1672,209.0,0.0,7.0
:ep=zerocopy_symm @ olmoe-1b-7b @ step_78,PushPop,1445.8718,1145.5720,8,180.7340,180.7698,180.5758,180.8104,0.0835,1672,209.0,0.0,7.0
:ep=zerocopy_symm @ olmoe-1b-7b @ step_69,PushPop,1444.5353,1445.7084,8,180.5669,180.5638,180.5474,180.6013,0.0172,1712,214.0,0.0,12.0
:ep=zerocopy_symm @ olmoe-1b-7b @ step_64,PushPop,1443.1304,1140.7845,8,180.3913,180.3909,180.3719,180.4182,0.0178,1672,209.0,0.0,7.0
:ep=zerocopy_symm @ olmoe-1b-7b @ step_71,PushPop,1442.5655,1143.7668,8,180.3207,180.3220,180.2914,180.3428,0.0166,1672,209.0,0.0,7.0
:ep=zerocopy_symm @ olmoe-1b-7b @ step_66,PushPop,1442.2326,1141.3455,8,180.2791,180.2770,180.2491,180.3130,0.0200,1672,209.0,0.0,7.0
:ep=zerocopy_symm @ olmoe-1b-7b @ step_79,PushPop,1441.6636,1442.7331,8,180.2079,180.2130,180.1579,180.2351,0.0277,1712,214.0,0.0,12.0
:ep=zerocopy_symm @ olmoe-1b-7b @ step_75,PushPop,1441.2072,1137.7602,8,180.1509,180.1493,180.1224,180.1907,0.0199,1672,209.0,0.0,7.0
:ep=zerocopy_symm @ olmoe-1b-7b @ step_58,PushPop,1440.3943,1136.2319,8,180.0493,180.0499,180.0082,180.0817,0.0257,1672,209.0,0.0,7.0
:ep=zerocopy_symm @ olmoe-1b-7b @ step_72,PushPop,1439.9718,1140.5513,8,179.9965,180.0017,179.9714,180.0160,0.0166,1672,209.0,0.0,7.0
:ep=zerocopy_symm @ olmoe-1b-7b @ step_59,PushPop,1439.5499,1440.5038,8,179.9437,179.9401,179.9265,179.9729,0.0174,1712,214.0,0.0,12.0
:ep=zerocopy_symm @ olmoe-1b-7b @ step_74,PushPop,1438.9012,1137.2615,8,179.8626,179.8547,179.8370,179.9116,0.0238,1672,209.0,0.0,7.0
:ep=zerocopy_symm @ olmoe-1b-7b @ step_65,PushPop,1437.9117,1139.4586,8,179.7390,179.7352,179.7224,179.7618,0.0150,1672,209.0,0.0,7.0
:ep=zerocopy_symm @ olmoe-1b-7b @ step_61,PushPop,1437.8267,1136.1516,8,179.7283,179.7301,179.6889,179.7787,0.0281,1672,209.0,0.0,7.0
:ep=zerocopy_symm @ olmoe-1b-7b @ step_55,PushPop,1437.5459,1140.9617,8,179.6932,178.7504,178.2091,182.0583,1.6870,1672,209.0,0.0,7.0
:ep=zerocopy_symm @ olmoe-1b-7b @ step_70,PushPop,1437.3344,1137.2531,8,179.6668,179.6740,179.6177,179.6819,0.0208,1672,209.0,0.0,7.0
:ep=zerocopy_symm @ olmoe-1b-7b @ step_63,PushPop,1437.2855,1134.2198,8,179.6607,179.6665,179.6254,179.6783,0.0177,1672,209.0,0.0,7.0
:ep=zerocopy_symm @ olmoe-1b-7b @ step_62,PushPop,1436.6900,1138.9554,8,179.5862,179.6129,179.4706,179.6221,0.0547,1672,209.0,0.0,7.0
