Range,Style,Total Proj Time (ms),Total Range Time (ms),Range Instances,Proj Avg (ms),Proj Med (ms),Proj Min (ms),Proj Max (ms),Proj StdDev (ms),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:tr-backward,PushPop,30303.2766,1078.4224,208,145.6888,144.8805,141.0533,153.0736,2.9104,416,2.0,1.0,2.0
:tr-optimize,PushPop,16807.4728,47679.2799,208,80.8052,80.8709,80.2281,81.1990,0.2002,391040,1880.0,1.0,1.0
NCCL:ncclAllReduce,PushPop,13023.3203,33.9897,856,15.2142,5.1350,0.4285,182.3539,15.5305,856,1.0,0.0,0.0
:tr-forward,PushPop,10868.3293,1231.0261,208,52.2516,52.2231,50.8712,54.0453,0.5682,28704,138.0,1.0,3.0
:fw.MoE,PushPop,9390.0590,830.9663,208,45.1445,45.1420,44.1760,46.4502,0.4236,20592,99.0,3.0,19.0
:experts.fw,PushPop,8453.3078,73.4272,208,40.6409,40.5966,39.7396,41.8863,0.4320,2704,13.0,4.0,5.0
:ep=local @ qwen3-30b-a3b @ step_37,PushPop,2286.3996,1978.6273,8,285.8000,285.8844,285.4753,286.0643,0.2111,16232,2029.0,0.0,7.0
:ep=local @ qwen3-30b-a3b @ step_42,PushPop,2280.6632,1972.9534,8,285.0829,285.1549,284.7106,285.3236,0.2199,16232,2029.0,0.0,7.0
:ep=local @ qwen3-30b-a3b @ step_44,PushPop,2273.2776,1965.5176,8,284.1597,284.2220,283.8038,284.3769,0.1930,16232,2029.0,0.0,7.0
:ep=local @ qwen3-30b-a3b @ step_41,PushPop,2259.7073,1951.9622,8,282.4634,282.5661,282.1539,282.6646,0.1922,16232,2029.0,0.0,7.0
:ep=local @ qwen3-30b-a3b @ step_36,PushPop,2258.8804,1951.0150,8,282.3600,282.4339,282.0411,282.5070,0.1777,16232,2029.0,0.0,7.0
:ep=local @ qwen3-30b-a3b @ step_32,PushPop,2254.5681,1946.6304,8,281.8210,281.9062,281.4587,282.0362,0.2196,16232,2029.0,0.0,7.0
:ep=local @ qwen3-30b-a3b @ step_50,PushPop,2253.5081,1945.7067,8,281.6885,281.7285,281.3572,281.9315,0.2166,16232,2029.0,0.0,7.0
:ep=local @ qwen3-30b-a3b @ step_28,PushPop,2250.5987,1944.2162,8,281.3248,282.0026,278.1879,282.9577,1.7573,16232,2029.0,0.0,7.0
:ep=local @ qwen3-30b-a3b @ step_43,PushPop,2246.8971,1939.0264,8,280.8621,280.8933,280.5303,281.1242,0.1953,16232,2029.0,0.0,7.0
:ep=local @ qwen3-30b-a3b @ step_31,PushPop,2245.7510,1937.9124,8,280.7189,280.7900,280.3821,280.9269,0.2007,16232,2029.0,0.0,7.0
:ep=local @ qwen3-30b-a3b @ step_53,PushPop,2240.4754,1932.5985,8,280.0594,280.0826,279.7847,280.3680,0.1869,16232,2029.0,0.0,7.0
