Range,Style,Total Proj Time (ms),Total Range Time (ms),Range Instances,Proj Avg (ms),Proj Med (ms),Proj Min (ms),Proj Max (ms),Proj StdDev (ms),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:tr-backward,PushPop,25058.1415,1214.1246,208,120.4718,120.5456,117.7453,122.5818,0.9209,416,2.0,1.0,2.0
:tr-forward,PushPop,13534.9561,2513.6912,208,65.0719,64.7108,63.1177,68.6264,1.1416,37856,182.0,1.0,3.0
:fw.MoE,PushPop,11961.0437,2091.4636,208,57.5050,57.2297,55.7244,61.0570,1.0258,29744,143.0,3.0,19.0
:experts.fw,PushPop,8767.7388,93.3412,208,42.1526,42.0667,41.0025,46.5690,0.7270,2704,13.0,4.0,5.0
NCCL:ncclGroupEnd,PushPop,3464.7402,34.4562,832,4.1644,3.9866,2.6953,8.1646,0.7686,832,1.0,0.0,0.0
:tr-optimize,PushPop,2392.6187,458.6645,208,11.5030,11.4936,11.2250,11.7370,0.0913,54912,264.0,1.0,1.0
cuBLAS:cublasLtTSTMatmul,PushPop,1907.7087,55.8264,2080,0.9172,0.2433,0.0285,3.1725,1.1605,3536,1.7,0.0,0.0
:ep=host_nccl @ qwen3-30b-a3b @ step_33,PushPop,1605.7139,166.0160,8,200.7142,200.6931,200.5383,200.9628,0.1208,3656,457.0,0.0,7.0
:ep=host_nccl @ qwen3-30b-a3b @ step_42,PushPop,1603.4383,164.9939,8,200.4298,200.4502,200.3380,200.5167,0.0656,3656,457.0,0.0,7.0
:ep=host_nccl @ qwen3-30b-a3b @ step_48,PushPop,1602.7051,168.3461,8,200.3381,200.3246,200.2507,200.5039,0.0822,3656,457.0,0.0,7.0
:ep=host_nccl @ qwen3-30b-a3b @ step_35,PushPop,1597.4079,173.5053,8,199.6760,199.7501,199.0603,200.0706,0.2908,3656,457.0,0.0,7.0
:ep=host_nccl @ qwen3-30b-a3b @ step_37,PushPop,1595.2478,170.8100,8,199.4060,199.4386,199.0746,199.5658,0.1492,3656,457.0,0.0,7.0
:ep=host_nccl @ qwen3-30b-a3b @ step_38,PushPop,1593.2747,164.8145,8,199.1593,199.1588,198.9870,199.3259,0.0939,3656,457.0,0.0,7.0
:ep=host_nccl @ qwen3-30b-a3b @ step_40,PushPop,1593.2449,174.7105,8,199.1556,199.1651,199.0716,199.2349,0.0617,3656,457.0,0.0,7.0
:ep=host_nccl @ qwen3-30b-a3b @ step_39,PushPop,1591.9929,1593.1220,8,198.9991,199.0214,198.8635,199.0361,0.0572,3696,462.0,0.0,12.0
:ep=host_nccl @ qwen3-30b-a3b @ step_43,PushPop,1590.6876,163.7327,8,198.8360,198.8262,198.7403,198.9694,0.0720,3656,457.0,0.0,7.0
:ep=host_nccl @ qwen3-30b-a3b @ step_41,PushPop,1590.1152,171.8201,8,198.7644,198.8316,198.2802,198.9340,0.2075,3656,457.0,0.0,7.0
:ep=host_nccl @ qwen3-30b-a3b @ step_49,PushPop,1588.8605,1590.0631,8,198.6076,198.6191,198.5074,198.7521,0.0760,3696,462.0,0.0,12.0
:ep=host_nccl @ qwen3-30b-a3b @ step_44,PushPop,1585.4187,171.4271,8,198.1773,198.1533,198.1214,198.3040,0.0618,3656,457.0,0.0,7.0
:ep=host_nccl @ qwen3-30b-a3b @ step_34,PushPop,1583.9840,167.9238,8,197.9980,198.0096,197.8491,198.1019,0.0822,3656,457.0,0.0,7.0
:ep=host_nccl @ qwen3-30b-a3b @ step_53,PushPop,1583.5520,159.8745,8,197.9440,197.9470,197.6922,198.0702,0.1228,3656,457.0,0.0,7.0
:ep=host_nccl @ qwen3-30b-a3b @ step_36,PushPop,1583.1153,179.9473,8,197.8894,197.9403,197.5627,198.1506,0.1904,3656,457.0,0.0,7.0
:ep=host_nccl @ qwen3-30b-a3b @ step_29,PushPop,1580.7963,1582.0584,8,197.5995,197.6210,197.5010,197.6412,0.0469,3696,462.0,0.0,12.0
:ep=host_nccl @ qwen3-30b-a3b @ step_52,PushPop,1578.2244,165.2556,8,197.2780,197.2765,197.1731,197.4086,0.0873,3656,457.0,0.0,7.0
:ep=host_nccl @ qwen3-30b-a3b @ step_51,PushPop,1577.7009,162.4262,8,197.2126,197.1885,197.1519,197.3060,0.0615,3656,457.0,0.0,7.0
:ep=host_nccl @ qwen3-30b-a3b @ step_47,PushPop,1574.8438,156.7593,8,196.8555,196.8173,196.7514,197.0367,0.1072,3656,457.0,0.0,7.0
:ep=host_nccl @ qwen3-30b-a3b @ step_32,PushPop,1573.2841,163.8387,8,196.6605,196.6172,196.4862,196.9594,0.1448,3656,457.0,0.0,7.0
:ep=host_nccl @ qwen3-30b-a3b @ step_45,PushPop,1573.0721,160.9469,8,196.6340,196.6515,196.5456,196.7229,0.0623,3656,457.0,0.0,7.0
:ep=host_nccl @ qwen3-30b-a3b @ step_30,PushPop,1572.4819,167.5170,8,196.5602,196.5500,196.4537,196.7308,0.0970,3656,457.0,0.0,7.0
:ep=host_nccl @ qwen3-30b-a3b @ step_31,PushPop,1571.4465,171.1722,8,196.4308,196.3976,196.2439,196.7259,0.1426,3656,457.0,0.0,7.0
:ep=host_nccl @ qwen3-30b-a3b @ step_46,PushPop,1570.7298,164.6524,8,196.3412,196.3382,196.1940,196.5099,0.1012,3656,457.0,0.0,7.0
:ep=host_nccl @ qwen3-30b-a3b @ step_50,PushPop,1567.9581,169.0610,8,195.9948,195.9705,195.8035,196.1665,0.1255,3656,457.0,0.0,7.0
:ep=host_nccl @ qwen3-30b-a3b @ step_28,PushPop,1560.6467,181.1513,8,195.0808,195.2444,194.1626,195.6254,0.4767,3656,457.0,0.0,7.0
:combine.fw,PushPop,1522.3028,82.9463,208,7.3188,7.1223,5.6911,11.0998,0.9704,832,4.0,4.0,4.0
:dispatch.fw,PushPop,1458.9379,1331.9889,208,7.0141,6.9924,6.1206,8.3555,0.3794,21008,101.0,4.0,23.0
:bw.a2a_dispatch,PushPop,905.2095,36.3444,208,4.3520,4.3127,2.7524,6.6984,0.8542,208,1.0,2.0,1.0
:fw.a2a_combine,PushPop,902.4648,43.2475,208,4.3388,4.1452,2.6953,8.1646,0.9876,208,1.0,6.0,1.0
:bw.a2a_combine,PushPop,849.1622,44.8366,208,4.0825,3.9832,2.8656,5.8267,0.6664,208,1.0,2.0,1.0
:fw.a2a_dispatch,PushPop,807.9038,29.3850,208,3.8842,3.8797,3.1945,4.5990,0.2661,208,1.0,6.0,1.0
:fw.Attn,PushPop,580.3208,199.0842,208,2.7900,2.7802,2.4240,3.2531,0.1377,5200,25.0,3.0,23.0
":DistributedDataParallel.forward, op_id = 6754",PushPop,533.6479,92.5771,8,66.7060,66.6444,65.8071,67.4501,0.5412,1432,179.0,2.0,12.0
":DistributedDataParallel.forward, op_id = 26787",PushPop,533.1453,98.9144,8,66.6432,66.6093,65.9257,67.3133,0.4845,1432,179.0,2.0,12.0
":DistributedDataParallel.forward, op_id = 9422",PushPop,520.8948,101.6171,8,65.1119,65.2136,63.6171,65.9432,0.7416,1432,179.0,2.0,12.0
