Range,Style,Total Proj Time (ms),Total Range Time (ms),Range Instances,Proj Avg (ms),Proj Med (ms),Proj Min (ms),Proj Max (ms),Proj StdDev (ms),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:tr-backward,PushPop,24118.8697,24206.7417,208,115.9561,115.9410,114.2038,117.8807,1.0132,416,2.0,1.0,2.0
:bw.a2a_dispatch,PushPop,19389.0378,18388.3947,208,93.2165,93.2247,91.6026,94.7607,0.9811,2704,13.0,2.0,4.0
:tr-forward,PushPop,13657.9793,11531.6599,208,65.6634,65.5830,64.1690,68.2340,0.6722,34112,164.0,1.0,3.0
:fw.MoE,PushPop,12312.1608,11131.7538,208,59.1931,59.1497,57.9078,61.3507,0.6015,26000,125.0,3.0,19.0
:combine.fw,PushPop,11426.5863,10015.9029,208,54.9355,54.9172,53.8864,57.0606,0.5660,2912,14.0,4.0,3.0
:fw.a2a_combine,PushPop,10991.0799,9988.8859,208,52.8417,52.8226,51.7956,54.9722,0.5658,2496,12.0,6.0,4.0
:experts.fw,PushPop,8985.8285,75.1311,208,43.2011,43.1636,41.0628,46.4428,0.7643,2704,13.0,4.0,5.0
:bw.a2a_combine,PushPop,5239.2350,4641.0239,208,25.1886,25.2151,24.4435,25.5127,0.1966,2704,13.0,2.0,4.0
:tr-optimize,PushPop,2409.1433,483.0287,208,11.5824,11.5745,11.5073,11.6741,0.0324,54912,264.0,1.0,1.0
cuBLAS:cublasLtTSTMatmul,PushPop,1616.1843,55.7791,2080,0.7770,0.1909,0.0281,2.4580,1.0040,3536,1.7,0.0,0.0
:ep=naive_symm @ qwen3-30b-a3b @ step_51,PushPop,1586.6216,1435.7215,8,198.3277,198.3536,198.1144,198.4018,0.0913,3512,439.0,0.0,7.0
:ep=naive_symm @ qwen3-30b-a3b @ step_49,PushPop,1568.3798,1569.5256,8,196.0475,196.0715,195.8683,196.0986,0.0748,3552,444.0,0.0,12.0
:ep=naive_symm @ qwen3-30b-a3b @ step_41,PushPop,1563.1341,1409.4567,8,195.3918,195.3854,195.3432,195.4612,0.0430,3512,439.0,0.0,7.0
:ep=naive_symm @ qwen3-30b-a3b @ step_37,PushPop,1562.0895,1407.6379,8,195.2612,195.2519,195.2108,195.3156,0.0405,3512,439.0,0.0,7.0
:ep=naive_symm @ qwen3-30b-a3b @ step_38,PushPop,1561.6218,1409.6627,8,195.2027,195.1970,195.1395,195.2549,0.0406,3512,439.0,0.0,7.0
:ep=naive_symm @ qwen3-30b-a3b @ step_28,PushPop,1560.4916,1411.8059,8,195.0614,195.0481,194.5555,195.3668,0.2762,3512,439.0,0.0,7.0
:ep=naive_symm @ qwen3-30b-a3b @ step_50,PushPop,1560.3144,1408.6994,8,195.0393,195.0555,194.9379,195.0994,0.0509,3512,439.0,0.0,7.0
