Range,Style,Total Proj Time (ms),Total Range Time (ms),Range Instances,Proj Avg (ms),Proj Med (ms),Proj Min (ms),Proj Max (ms),Proj StdDev (ms),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:tr-backward,PushPop,24122.4782,24107.8784,208,115.9735,115.8005,114.1016,118.2961,0.9869,416,2.0,1.0,2.0
:tr-forward,PushPop,13635.3201,11488.5207,208,65.5544,65.5393,64.3490,68.1630,0.5726,31408,151.0,1.0,3.0
:tr-optimize,PushPop,2408.1168,453.6874,208,11.5775,11.5804,11.5124,11.6336,0.0210,54912,264.0,1.0,1.0
:tr-data,PushPop,62.2116,136.9491,208,0.2991,0.2547,0.1788,0.8595,0.1342,1248,6.0,1.0,5.0
:ep=pooled_symm @ qwen3-30b-a3b @ step_28,PushPop,1580.1399,1426.1623,8,197.5175,197.6708,196.4813,197.9809,0.4788,3408,426.0,0.0,7.0
:ep=pooled_symm @ qwen3-30b-a3b @ step_46,PushPop,1568.3901,1409.5202,8,196.0488,196.0634,195.9725,196.0838,0.0360,3408,426.0,0.0,7.0
:ep=pooled_symm @ qwen3-30b-a3b @ step_48,PushPop,1567.3490,1407.1489,8,195.9186,195.9224,195.8903,195.9388,0.0185,3408,426.0,0.0,7.0
:ep=pooled_symm @ qwen3-30b-a3b @ step_51,PushPop,1562.9093,1402.6191,8,195.3637,195.3697,195.3122,195.3920,0.0296,3408,426.0,0.0,7.0
:ep=pooled_symm @ qwen3-30b-a3b @ step_39,PushPop,1558.7769,1559.8147,8,194.8471,194.8485,194.8266,194.8692,0.0160,3448,431.0,0.0,12.0
:ep=pooled_symm @ qwen3-30b-a3b @ step_37,PushPop,1557.4662,1400.2358,8,194.6833,194.6815,194.6310,194.7328,0.0339,3408,426.0,0.0,7.0
:ep=pooled_symm @ qwen3-30b-a3b @ step_52,PushPop,1557.2682,1400.4368,8,194.6585,194.6527,194.6357,194.6966,0.0210,3408,426.0,0.0,7.0
:ep=pooled_symm @ qwen3-30b-a3b @ step_47,PushPop,1556.5960,1397.5836,8,194.5745,194.5795,194.5248,194.6100,0.0305,3408,426.0,0.0,7.0
:ep=pooled_symm @ qwen3-30b-a3b @ step_49,PushPop,1555.9605,1557.2813,8,194.4951,194.5465,194.2389,194.6094,0.1280,3448,431.0,0.0,12.0
:ep=pooled_symm @ qwen3-30b-a3b @ step_35,PushPop,1554.6537,1394.5245,8,194.3317,194.3311,194.2871,194.3752,0.0300,3408,426.0,0.0,7.0
