Range,Style,Total Proj Time (ms),Total Range Time (ms),Range Instances,Proj Avg (ms),Proj Med (ms),Proj Min (ms),Proj Max (ms),Proj StdDev (ms),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:tr-backward,PushPop,23787.0606,23767.4635,208,114.3609,114.0981,112.6828,117.1166,1.0562,416,2.0,1.0,2.0
:tr-forward,PushPop,13279.4870,11134.1850,208,63.8437,63.8351,62.6751,66.1197,0.5752,30784,148.0,1.0,3.0
:fw.MoE,PushPop,11946.7062,10735.5928,208,57.4361,57.4145,56.3424,59.3069,0.5045,22672,109.0,3.0,19.0
:experts.fw,PushPop,8965.3074,75.4985,208,43.1024,43.0830,41.2417,44.8317,0.6997,2704,13.0,4.0,5.0
:tr-optimize,PushPop,2408.3209,458.8943,208,11.5785,11.5797,11.5123,11.6573,0.0281,54912,264.0,1.0,1.0
:bw.a2a_dispatch,PushPop,1762.7850,18172.0450,208,8.4749,8.4637,5.5388,13.2180,1.6945,1040,5.0,2.0,3.0
:combine.fw,PushPop,1717.7579,9791.3440,208,8.2585,8.2338,7.1841,10.5325,0.7584,1248,6.0,4.0,3.0
cuBLAS:cublasLtTSTMatmul,PushPop,1626.1114,52.8968,2080,0.7818,0.1912,0.0283,2.4827,1.0116,3536,1.7,0.0,0.0
:ep=zerocopy_symm @ qwen3-30b-a3b @ step_37,PushPop,1542.7620,1384.3980,8,192.8453,192.8452,192.7839,192.9067,0.0379,3384,423.0,0.0,7.0
:ep=zerocopy_symm @ qwen3-30b-a3b @ step_28,PushPop,1541.5932,1385.9216,8,192.6992,192.7976,192.1826,193.1283,0.3820,3384,423.0,0.0,7.0
:ep=zerocopy_symm @ qwen3-30b-a3b @ step_51,PushPop,1541.5868,1382.0657,8,192.6983,192.7038,192.6346,192.7458,0.0388,3384,423.0,0.0,7.0
:ep=zerocopy_symm @ qwen3-30b-a3b @ step_42,PushPop,1538.2630,1377.9666,8,192.2829,192.2922,192.1887,192.3169,0.0394,3384,423.0,0.0,7.0
:ep=zerocopy_symm @ qwen3-30b-a3b @ step_52,PushPop,1537.9685,1379.0667,8,192.2461,192.2438,192.2098,192.2871,0.0297,3384,423.0,0.0,7.0
:ep=zerocopy_symm @ qwen3-30b-a3b @ step_40,PushPop,1535.1244,1375.3989,8,191.8905,191.8935,191.8445,191.9287,0.0311,3384,423.0,0.0,7.0
